t_s,seq,gx_dps,gy_dps,gz_dps,cmd_roll,cmd_pitch,cmd_yaw,m0,m1,m2,m3
0.065,17414,-0.03,0.04,0.04,0.0,-0.0,-0.0,150,150,150,150
0.130,17427,0.03,0.04,-0.02,-0.0,-0.0,0.0,150,150,150,150
0.195,17440,-0.03,0.04,-0.02,0.0,-0.0,0.0,150,150,150,150
0.260,17453,-0.03,-0.02,0.10,0.0,0.0,-0.0,150,150,150,150
0.325,17466,0.03,0.10,-0.02,-0.0,-0.0,0.0,150,150,150,150
0.390,17479,0.03,0.04,-0.02,-0.0,-0.0,0.0,150,150,150,150
0.455,17492,-0.10,0.04,-0.02,0.0,-0.0,0.0,150,150,150,150
0.520,17505,-0.10,-0.02,-0.02,0.0,0.0,0.0,150,150,150,150
0.585,17518,-0.03,0.04,0.04,0.0,-0.0,-0.0,150,150,150,150
0.650,17531,-0.16,-0.02,-0.02,0.1,0.0,0.0,150,150,150,150
0.716,17544,-0.03,0.16,-0.02,0.0,-0.1,0.0,150,150,150,150
0.781,17557,0.03,-0.08,-0.02,-0.0,0.0,0.0,150,150,150,150
0.846,17570,-0.03,-0.02,0.04,0.0,0.0,-0.0,150,150,150,150
0.911,17583,-0.03,-0.02,-0.02,0.0,0.0,0.0,150,150,150,150
0.976,17596,-0.03,0.04,-0.08,0.0,-0.0,0.0,150,150,150,150
1.041,17609,0.03,0.10,0.04,-0.0,-0.0,-0.0,150,150,150,150
1.106,17622,0.03,-0.02,0.04,-0.0,0.0,-0.0,150,150,150,150
1.171,17635,-0.03,-0.02,-0.02,0.0,0.0,0.0,150,150,150,150
1.236,17648,0.03,0.10,-0.08,-0.0,-0.0,0.0,150,150,150,150
1.301,17661,0.03,0.04,-0.08,-0.0,-0.0,0.0,150,150,150,150
1.366,17674,-0.03,0.16,0.04,0.0,-0.1,-0.0,150,150,150,150
1.431,17687,-0.10,0.10,-0.15,0.0,-0.0,0.1,150,150,150,150
1.496,17700,-0.03,-0.08,-0.08,0.0,0.0,0.0,150,150,150,150
1.561,17713,0.03,-0.08,0.04,-0.0,0.0,-0.0,150,150,150,150
1.627,17726,-0.03,0.04,0.10,0.0,-0.0,-0.0,150,150,150,150
1.692,17739,-0.10,-0.02,-0.02,0.0,0.0,0.0,150,150,150,150
1.757,17752,-0.03,-0.02,-0.02,0.0,0.0,0.0,150,150,150,150
1.822,17765,0.03,-0.02,-0.02,-0.0,0.0,0.0,150,150,150,150
1.887,17778,0.03,0.10,-0.02,-0.0,-0.0,0.0,150,150,150,150
1.952,17791,0.03,0.04,0.04,-0.0,-0.0,-0.0,150,150,150,150
2.017,17804,0.03,-0.08,-0.02,-0.0,0.0,0.0,150,150,150,150
2.082,17817,-0.10,0.04,-0.02,0.0,-0.0,0.0,150,150,150,150
2.147,17830,-0.16,-0.08,-0.02,0.1,0.0,0.0,150,150,150,150
2.212,17843,-0.16,0.04,-0.02,0.1,-0.0,0.0,150,150,150,150
2.277,17856,-0.03,0.04,-0.02,0.0,-0.0,0.0,150,150,150,150
2.342,17869,-0.16,0.10,-0.02,0.1,-0.0,0.0,150,150,150,150
2.407,17882,-0.03,-0.02,0.04,0.0,0.0,-0.0,150,150,150,150
2.472,17895,-0.10,0.16,-0.02,0.0,-0.1,0.0,150,150,150,150
2.538,17908,0.03,0.04,0.16,-0.0,-0.0,-0.1,150,150,150,150
2.603,17921,-0.03,0.04,0.04,0.0,-0.0,-0.0,150,150,150,150
2.668,17934,-0.03,-0.02,0.10,0.0,0.0,-0.0,150,150,150,150
2.733,17947,-0.03,0.10,0.04,0.0,-0.0,-0.0,150,150,150,150
2.798,17960,-0.10,-0.02,0.04,0.0,0.0,-0.0,150,150,150,150
2.863,17973,-0.10,-0.02,0.10,0.0,0.0,-0.0,150,150,150,150
2.928,17986,-0.03,-0.02,0.04,0.0,0.0,-0.0,150,150,150,150
2.993,17999,0.03,-0.02,0.04,-0.0,0.0,-0.0,150,150,150,150
3.058,18012,-0.03,-0.02,0.04,0.0,0.0,-0.0,150,150,150,150
3.123,18025,0.03,-0.14,0.04,-0.0,0.1,-0.0,150,150,150,150
3.188,18038,-0.10,0.10,0.04,0.0,-0.0,-0.0,150,150,150,150
3.253,18051,0.03,0.10,0.04,-0.0,-0.0,-0.0,150,150,150,150
3.318,18064,-0.16,0.04,-0.02,0.1,-0.0,0.0,150,150,150,150
3.383,18077,-0.03,-0.02,-0.02,0.0,0.0,0.0,150,150,150,150
3.448,18090,-0.10,-0.02,-0.02,0.0,0.0,0.0,150,150,150,150
3.513,18103,-0.16,0.16,0.10,0.1,-0.1,-0.0,150,150,150,150
3.579,18116,0.03,0.04,0.04,-0.0,-0.0,-0.0,150,150,150,150
3.644,18129,-0.03,-0.14,-0.08,0.0,0.1,0.0,150,150,150,150
3.709,18142,-0.10,-0.02,0.10,0.0,0.0,-0.0,150,150,150,150
3.774,18155,0.03,-0.14,0.04,-0.0,0.1,-0.0,150,150,150,150
3.839,18168,-0.10,-0.02,0.04,0.0,0.0,-0.0,150,150,150,150
3.904,18181,-0.10,-0.14,-0.02,0.0,0.1,0.0,150,150,150,150
3.969,18194,-0.16,0.04,-0.02,0.1,-0.0,0.0,150,150,150,150
4.034,18207,0.09,-0.02,0.04,-0.0,0.0,-0.0,150,150,150,150
4.099,18220,-0.03,-0.02,-0.02,0.0,0.0,0.0,150,150,150,150
4.164,18233,-0.10,-0.02,-0.02,0.0,0.0,0.0,150,150,150,150
4.229,18246,0.03,0.04,-0.02,-0.0,-0.0,0.0,150,150,150,150
4.294,18259,-0.03,-0.08,-0.02,0.0,0.0,0.0,150,150,150,150
4.360,18272,-0.16,-0.02,-0.27,0.1,0.0,0.1,150,150,150,150
4.424,18285,-0.22,-0.08,-0.08,0.1,0.0,0.0,150,150,150,150
4.490,18298,-0.10,0.04,0.04,0.0,-0.0,-0.0,150,150,150,150
4.555,18311,0.03,0.04,-0.08,-0.0,-0.0,0.0,150,150,150,150
4.620,18324,0.03,-0.26,0.04,-0.0,0.1,-0.0,150,150,150,150
4.685,18337,-0.28,0.47,-0.08,0.1,-0.2,0.0,150,150,150,150
4.750,18350,0.03,-0.26,-0.08,-0.0,0.1,0.0,150,150,150,150
4.815,18363,-0.03,0.04,-0.02,0.0,-0.0,0.0,150,150,150,150
4.880,18376,-0.10,-0.02,0.10,0.0,0.0,-0.0,150,150,150,150
4.945,18389,0.03,-0.02,0.10,-0.0,0.0,-0.0,150,150,150,150
5.010,18402,0.03,0.10,-0.08,-0.0,-0.0,0.0,150,150,150,150
5.075,18415,-0.10,-0.02,0.04,0.0,0.0,-0.0,150,150,150,150
5.140,18428,0.03,0.04,-0.02,-0.0,-0.0,0.0,150,150,150,150
5.205,18441,0.03,-0.08,-0.02,-0.0,0.0,0.0,150,150,150,150
5.270,18454,-0.03,0.10,0.16,0.0,-0.0,-0.1,150,150,150,150
5.335,18467,-0.10,-0.02,-0.08,0.0,0.0,0.0,150,150,150,150
5.401,18480,0.09,-0.08,0.10,-0.0,0.0,-0.0,150,150,150,150
