t,wall,state,action,arm,b,emerg,raw_thr,raw_roll,raw_pitch,raw_yaw,sent_roll,sent_pitch,sent_gaz,sent_yaw
0.983,1782952226.526,DISARMED,idle,-1.00,0.00,-1.00,-0.992,0.002,0.001,0.005,,,,
1.018,1782952226.561,DISARMED,idle,-1.00,0.00,-1.00,-0.992,0.002,0.001,0.005,,,,
1.053,1782952226.595,DISARMED,idle,-1.00,0.00,-1.00,-0.992,0.002,0.001,0.005,,,,
1.088,1782952226.630,DISARMED,idle,-1.00,0.00,-1.00,-0.992,0.002,0.001,0.005,,,,
1.122,1782952226.665,DISARMED,idle,-1.00,0.00,-1.00,-0.992,0.002,0.001,0.005,,,,
1.157,1782952226.700,DISARMED,idle,-1.00,0.00,-1.00,-0.992,0.002,0.001,0.005,,,,
1.192,1782952226.735,DISARMED,idle,-1.00,0.00,-1.00,-0.992,0.002,0.001,0.005,,,,
1.227,1782952226.769,DISARMED,idle,-1.00,0.00,-1.00,-0.992,0.002,0.001,0.005,,,,
1.262,1782952226.804,DISARMED,idle,-1.00,0.00,-1.00,-0.992,0.002,0.001,0.005,,,,
1.296,1782952226.839,DISARMED,idle,-1.00,0.00,-1.00,-0.992,0.002,0.001,0.005,,,,
1.331,1782952226.873,DISARMED,idle,-1.00,0.00,-1.00,-0.992,0.002,0.001,0.005,,,,
1.365,1782952226.908,DISARMED,idle,-1.00,0.00,-1.00,-0.992,0.002,0.001,0.005,,,,
1.400,1782952226.942,DISARMED,idle,-1.00,0.00,-1.00,-0.992,0.002,0.001,0.005,,,,
1.434,1782952226.977,DISARMED,idle,-1.00,0.00,-1.00,-0.992,0.002,0.001,0.005,,,,
1.470,1782952227.012,DISARMED,idle,-1.00,0.00,-1.00,-0.992,0.002,0.001,0.005,,,,
1.505,1782952227.047,DISARMED,idle,-1.00,0.00,-1.00,-0.992,0.002,0.001,0.005,,,,
1.539,1782952227.082,DISARMED,idle,-1.00,0.00,-1.00,-0.992,0.002,0.001,0.005,,,,
1.574,1782952227.117,DISARMED,idle,-1.00,0.00,-1.00,-0.992,0.002,0.001,0.005,,,,
1.609,1782952227.152,DISARMED,idle,-1.00,0.00,-1.00,-0.992,0.002,0.001,0.005,,,,
1.643,1782952227.186,DISARMED,idle,-1.00,0.00,-1.00,-0.992,0.002,0.001,0.005,,,,
1.678,1782952227.221,DISARMED,idle,-1.00,0.00,-1.00,-0.992,0.002,0.001,0.005,,,,
1.713,1782952227.255,DISARMED,idle,-1.00,0.00,-1.00,-0.992,0.002,0.001,0.005,,,,
1.747,1782952227.290,DISARMED,idle,-1.00,0.00,-1.00,-0.992,0.002,0.001,0.005,,,,
1.782,1782952227.325,DISARMED,idle,-1.00,0.00,-1.00,-0.992,0.002,0.001,0.005,,,,
1.817,1782952227.360,DISARMED,idle,-1.00,0.00,-1.00,-0.992,0.002,0.001,0.005,,,,
1.852,1782952227.394,DISARMED,idle,-1.00,0.00,-1.00,-0.992,0.002,0.001,0.005,,,,
1.886,1782952227.429,DISARMED,idle,-1.00,0.00,-1.00,-0.992,0.002,0.001,0.005,,,,
1.921,1782952227.463,DISARMED,idle,-1.00,0.00,-1.00,-0.992,0.002,0.001,0.005,,,,
1.955,1782952227.498,DISARMED,idle,-1.00,0.00,-1.00,-0.992,0.002,0.001,0.005,,,,
1.990,1782952227.533,DISARMED,idle,-1.00,0.00,-1.00,-0.992,0.002,0.001,0.005,,,,
2.025,1782952227.568,DISARMED,idle,-1.00,0.00,-1.00,-0.992,0.002,0.001,0.005,,,,
2.059,1782952227.602,DISARMED,idle,-1.00,0.00,-1.00,-0.992,0.002,0.001,0.005,,,,
2.094,1782952227.637,DISARMED,idle,-1.00,0.00,-1.00,-0.992,0.002,0.001,0.005,,,,
2.129,1782952227.671,DISARMED,idle,-1.00,0.00,-1.00,-0.992,0.002,0.001,0.005,,,,
2.163,1782952227.706,DISARMED,idle,-1.00,0.00,-1.00,-0.992,0.002,0.001,0.005,,,,
2.198,1782952227.741,DISARMED,idle,-1.00,0.00,-1.00,-0.992,0.002,0.001,0.005,,,,
2.233,1782952227.775,DISARMED,idle,-1.00,0.00,-1.00,-0.992,0.002,0.001,0.005,,,,
2.267,1782952227.810,DISARMED,idle,-1.00,0.00,-1.00,-0.992,0.002,0.001,0.005,,,,
2.302,1782952227.844,DISARMED,idle,-1.00,0.00,-1.00,-0.992,0.002,0.001,0.005,,,,
2.336,1782952227.879,DISARMED,idle,-1.00,0.00,-1.00,-0.992,0.002,0.001,0.005,,,,
2.371,1782952227.913,DISARMED,idle,-1.00,0.00,-1.00,-0.992,0.002,0.001,0.005,,,,
2.405,1782952227.948,DISARMED,idle,-1.00,0.00,-1.00,-0.992,0.002,0.001,0.005,,,,
2.439,1782952227.982,DISARMED,idle,-1.00,0.00,-1.00,-0.992,0.002,0.001,0.005,,,,
2.474,1782952228.017,DISARMED,idle,-1.00,0.00,-1.00,-0.992,0.002,0.001,0.005,,,,
2.509,1782952228.051,DISARMED,idle,-1.00,0.00,-1.00,-0.992,0.002,0.001,0.005,,,,
2.543,1782952228.086,DISARMED,idle,-1.00,0.00,-1.00,-0.992,0.002,0.001,0.005,,,,
2.577,1782952228.120,DISARMED,idle,-1.00,0.00,-1.00,-0.992,0.002,0.001,0.005,,,,
2.612,1782952228.154,DISARMED,idle,-1.00,0.00,-1.00,-0.992,0.002,0.001,0.005,,,,
2.647,1782952228.189,DISARMED,idle,-1.00,0.00,-1.00,-0.992,0.002,0.001,0.005,,,,
2.681,1782952228.224,DISARMED,idle,-1.00,0.00,-1.00,-0.992,0.002,0.001,0.005,,,,
2.716,1782952228.259,DISARMED,idle,-1.00,0.00,-1.00,-0.992,0.002,0.001,0.005,,,,
2.751,1782952228.294,DISARMED,idle,-1.00,0.00,-1.00,-0.992,0.002,0.001,0.005,,,,
2.786,1782952228.329,DISARMED,idle,-1.00,0.00,-1.00,-0.992,0.002,0.001,0.005,,,,
2.821,1782952228.364,DISARMED,idle,-1.00,0.00,-1.00,-0.992,0.002,0.001,0.005,,,,
2.856,1782952228.399,DISARMED,idle,-1.00,0.00,-1.00,-0.992,0.002,0.001,0.005,,,,
2.891,1782952228.433,DISARMED,idle,-1.00,0.00,-1.00,-0.992,0.002,0.001,0.005,,,,
2.926,1782952228.468,DISARMED,idle,-1.00,0.00,-1.00,-0.992,0.002,0.001,0.005,,,,
2.960,1782952228.503,DISARMED,idle,-1.00,0.00,-1.00,-0.992,0.002,0.001,0.005,,,,
2.995,1782952228.538,DISARMED,idle,-1.00,0.00,-1.00,-0.992,0.002,0.001,0.005,,,,
3.030,1782952228.573,DISARMED,idle,-1.00,0.00,-1.00,-0.992,0.002,0.001,0.005,,,,
3.065,1782952228.608,DISARMED,idle,-1.00,0.00,-1.00,-0.992,0.002,0.001,0.005,,,,
3.100,1782952228.642,DISARMED,idle,-1.00,0.00,-1.00,-0.992,0.002,0.001,0.005,,,,
3.135,1782952228.677,DISARMED,idle,-1.00,0.00,-1.00,-0.992,0.002,0.001,0.005,,,,
3.169,1782952228.712,DISARMED,idle,-1.00,0.00,-1.00,-0.992,0.002,0.001,0.005,,,,
3.204,1782952228.747,DISARMED,idle,-1.00,0.00,-1.00,-0.992,0.002,0.001,0.005,,,,
3.239,1782952228.782,DISARMED,idle,-1.00,0.00,-1.00,-0.992,0.002,0.001,0.005,,,,
3.274,1782952228.817,DISARMED,idle,-1.00,0.00,-1.00,-0.992,0.002,0.001,0.005,,,,
3.309,1782952228.851,DISARMED,idle,-1.00,0.00,-1.00,-0.992,0.002,0.001,0.005,,,,
3.344,1782952228.886,DISARMED,idle,-1.00,0.00,-1.00,-0.992,0.002,0.001,0.005,,,,
3.378,1782952228.921,DISARMED,idle,-1.00,0.00,-1.00,-0.992,0.002,0.001,0.005,,,,
3.413,1782952228.956,DISARMED,idle,-1.00,0.00,-1.00,-0.992,0.002,0.001,0.005,,,,
3.447,1782952228.990,DISARMED,idle,-1.00,0.00,-1.00,-0.992,0.002,0.001,0.005,,,,
3.481,1782952229.024,DISARMED,idle,-1.00,0.00,-1.00,-0.992,0.002,0.001,0.005,,,,
3.516,1782952229.059,DISARMED,idle,-1.00,0.00,-1.00,-0.992,0.002,0.001,0.005,,,,
3.551,1782952229.094,DISARMED,idle,-1.00,0.00,-1.00,-0.992,0.002,0.001,0.005,,,,
3.586,1782952229.129,DISARMED,idle,-1.00,0.00,-1.00,-0.992,0.002,0.001,0.005,,,,
3.621,1782952229.163,DISARMED,idle,-1.00,0.00,-1.00,-0.992,0.002,0.001,0.005,,,,
3.656,1782952229.198,DISARMED,idle,-1.00,0.00,-1.00,-0.992,0.002,0.001,0.005,,,,
3.691,1782952229.234,ARMED,move r+0.00 p+0.00 g-0.99 y+0.00,1.00,0.00,-1.00,-0.992,0.002,0.001,0.005,0.000,0.000,-0.986,0.000
3.726,1782952229.269,ARMED,move r+0.00 p+0.00 g-0.99 y+0.00,1.00,0.00,-1.00,-0.992,0.002,0.001,0.005,0.000,0.000,-0.986,0.000
3.762,1782952229.304,ARMED,move r+0.00 p+0.00 g-0.99 y+0.00,1.00,0.00,-1.00,-0.992,0.002,0.001,0.005,0.000,0.000,-0.986,0.000
3.797,1782952229.340,ARMED,move r+0.00 p+0.00 g-0.99 y+0.00,1.00,0.00,-1.00,-0.992,0.002,0.001,0.005,0.000,0.000,-0.986,0.000
3.832,1782952229.375,ARMED,move r+0.00 p+0.00 g-0.99 y+0.00,1.00,0.00,-1.00,-0.992,0.002,0.001,0.005,0.000,0.000,-0.986,0.000
3.867,1782952229.410,ARMED,move r+0.00 p+0.00 g-0.99 y+0.00,1.00,0.00,-1.00,-0.992,0.002,0.001,0.005,0.000,0.000,-0.986,0.000
3.902,1782952229.445,ARMED,move r+0.00 p+0.00 g-0.99 y+0.00,1.00,0.00,-1.00,-0.992,0.002,0.001,0.005,0.000,0.000,-0.986,0.000
3.937,1782952229.480,ARMED,move r+0.00 p+0.00 g-0.99 y+0.00,1.00,0.00,-1.00,-0.992,0.002,0.001,0.005,0.000,0.000,-0.986,0.000
3.973,1782952229.515,ARMED,move r+0.00 p+0.00 g-0.99 y+0.00,1.00,0.00,-1.00,-0.992,0.002,0.001,0.005,0.000,0.000,-0.986,0.000
4.008,1782952229.550,ARMED,move r+0.00 p+0.00 g-0.99 y+0.00,1.00,0.00,-1.00,-0.992,0.002,0.001,0.005,0.000,0.000,-0.986,0.000
4.043,1782952229.586,ARMED,move r+0.00 p+0.00 g-0.99 y+0.00,1.00,0.00,-1.00,-0.992,0.002,0.001,0.005,0.000,0.000,-0.986,0.000
4.078,1782952229.621,ARMED,move r+0.00 p+0.00 g-0.99 y+0.00,1.00,0.00,-1.00,-0.992,0.002,0.001,0.005,0.000,0.000,-0.986,0.000
4.113,1782952229.656,ARMED,move r+0.00 p+0.00 g-0.99 y+0.00,1.00,0.00,-1.00,-0.992,0.002,0.001,0.005,0.000,0.000,-0.986,0.000
4.149,1782952229.691,ARMED,move r+0.00 p+0.00 g-0.99 y+0.00,1.00,0.00,-1.00,-0.992,0.002,0.001,0.005,0.000,0.000,-0.986,0.000
4.184,1782952229.727,ARMED,move r+0.00 p+0.00 g-0.99 y+0.00,1.00,0.00,-1.00,-0.992,0.002,0.001,0.005,0.000,0.000,-0.986,0.000
4.220,1782952229.762,ARMED,move r+0.00 p+0.00 g-0.99 y+0.00,1.00,0.00,-1.00,-0.992,0.002,0.001,0.005,0.000,0.000,-0.986,0.000
4.255,1782952229.797,ARMED,move r+0.00 p+0.00 g-0.99 y+0.00,1.00,0.00,-1.00,-0.992,0.002,0.001,0.005,0.000,0.000,-0.986,0.000
4.290,1782952229.833,ARMED,move r+0.00 p+0.00 g-0.99 y+0.00,1.00,0.00,-1.00,-0.992,0.002,0.001,0.005,0.000,0.000,-0.986,0.000
4.324,1782952229.867,ARMED,move r+0.00 p+0.00 g-0.99 y+0.00,1.00,0.00,-1.00,-0.992,0.002,0.001,0.005,0.000,0.000,-0.986,0.000
4.360,1782952229.902,ARMED,move r+0.00 p+0.00 g-0.99 y+0.00,1.00,0.00,-1.00,-0.992,0.002,0.001,0.005,0.000,0.000,-0.986,0.000
4.394,1782952229.937,ARMED,move r+0.00 p+0.00 g-0.99 y+0.00,1.00,0.00,-1.00,-0.992,0.002,0.001,0.005,0.000,0.000,-0.986,0.000
