t,wall,state,action,arm,b,emerg,raw_thr,raw_roll,raw_pitch,raw_yaw,sent_roll,sent_pitch,sent_gaz,sent_yaw,roll_deg,pitch_deg,yaw_deg,alt_mm,m1,m2,m3,m4
3.232,1783028597.219,DISARMED,idle,-1.00,0.00,-1.00,0.000,0.000,0.000,0.000,,,,,-1.645,-0.824,-0.697,0,0,0,0,0
3.239,1783028597.227,DISARMED,idle,-1.00,0.00,-1.00,0.000,0.000,0.000,0.000,,,,,-1.645,-0.824,-0.697,0,0,0,0,0
3.273,1783028597.261,DISARMED,idle,-1.00,0.00,-1.00,0.000,0.000,0.000,0.000,,,,,-1.653,-0.814,-0.695,0,0,0,0,0
3.307,1783028597.294,DISARMED,idle,-1.00,0.00,-1.00,0.000,0.000,0.000,0.000,,,,,-1.653,-0.814,-0.695,0,0,0,0,0
3.347,1783028597.334,DISARMED,idle,-1.00,0.00,-1.00,0.000,0.000,0.000,0.000,,,,,-1.653,-0.814,-0.695,0,0,0,0,0
3.374,1783028597.361,DISARMED,idle,-1.00,0.00,-1.00,0.000,0.000,0.000,0.000,,,,,-1.653,-0.814,-0.695,0,0,0,0,0
3.418,1783028597.405,DISARMED,idle,-1.00,0.00,-1.00,0.000,0.000,0.000,0.000,,,,,-1.653,-0.814,-0.695,0,0,0,0,0
3.441,1783028597.429,DISARMED,idle,-1.00,0.00,-1.00,0.000,0.000,0.000,0.000,,,,,-1.653,-0.814,-0.695,0,0,0,0,0
3.476,1783028597.463,DISARMED,idle,-1.00,0.00,-1.00,0.000,0.000,0.000,0.000,,,,,-1.663,-0.796,-0.7,0,0,0,0,0
3.509,1783028597.497,DISARMED,idle,-1.00,0.00,-1.00,0.000,0.000,0.000,0.000,,,,,-1.663,-0.796,-0.7,0,0,0,0,0
3.544,1783028597.532,DISARMED,idle,-1.00,0.00,-1.00,0.000,0.000,0.000,0.000,,,,,-1.666,-0.783,-0.7,0,0,0,0,0
3.578,1783028597.565,DISARMED,idle,-1.00,0.00,-1.00,0.000,0.000,0.000,0.000,,,,,-1.668,-0.782,-0.7,0,0,0,0,0
3.611,1783028597.599,DISARMED,idle,-1.00,0.00,-1.00,0.000,0.000,0.000,0.000,,,,,-1.668,-0.782,-0.7,0,0,0,0,0
3.644,1783028597.632,DISARMED,idle,-1.00,0.00,-1.00,0.000,0.000,0.000,0.000,,,,,-1.668,-0.782,-0.7,0,0,0,0,0
3.679,1783028597.667,DISARMED,idle,-1.00,0.00,-1.00,0.000,0.000,0.000,0.000,,,,,-1.668,-0.782,-0.7,0,0,0,0,0
3.713,1783028597.701,DISARMED,idle,-1.00,0.00,-1.00,0.000,0.000,0.000,0.000,,,,,-1.668,-0.782,-0.7,0,0,0,0,0
3.747,1783028597.734,DISARMED,idle,-1.00,0.00,-1.00,0.000,0.000,0.000,0.000,,,,,-1.671,-0.786,-0.701,0,0,0,0,0
3.780,1783028597.768,DISARMED,idle,-1.00,0.00,-1.00,0.000,0.000,0.000,0.000,,,,,-1.666,-0.789,-0.702,0,0,0,0,0
3.814,1783028597.801,DISARMED,idle,-1.00,0.00,-1.00,0.000,0.000,0.000,0.000,,,,,-1.666,-0.789,-0.702,0,0,0,0,0
3.848,1783028597.835,DISARMED,idle,-1.00,0.00,-1.00,0.000,0.000,0.000,0.000,,,,,-1.666,-0.789,-0.702,0,0,0,0,0
3.881,1783028597.869,DISARMED,idle,-1.00,0.00,-1.00,0.000,0.000,0.000,0.000,,,,,-1.666,-0.789,-0.702,0,0,0,0,0
3.915,1783028597.902,DISARMED,idle,-1.00,0.00,-1.00,0.000,0.000,0.000,0.000,,,,,-1.666,-0.789,-0.702,0,0,0,0,0
3.949,1783028597.936,DISARMED,idle,-1.00,0.00,-1.00,0.000,0.000,0.000,0.000,,,,,-1.656,-0.789,-0.703,0,0,0,0,0
3.982,1783028597.970,DISARMED,idle,-1.00,0.00,-1.00,0.000,0.000,0.000,0.000,,,,,-1.658,-0.791,-0.705,0,0,0,0,0
4.017,1783028598.004,DISARMED,idle,-1.00,0.00,-1.00,0.000,0.000,0.000,0.000,,,,,-1.658,-0.791,-0.705,0,0,0,0,0
4.050,1783028598.038,DISARMED,idle,-1.00,0.00,-1.00,0.000,0.000,0.000,0.000,,,,,-1.658,-0.791,-0.705,0,0,0,0,0
4.085,1783028598.072,DISARMED,idle,-1.00,0.00,-1.00,0.000,0.000,0.000,0.000,,,,,-1.669,-0.791,-0.706,0,0,0,0,0
4.119,1783028598.106,DISARMED,idle,-1.00,0.00,-1.00,0.000,0.000,0.000,0.000,,,,,-1.67,-0.78,-0.705,0,0,0,0,0
