t,state,action,arm,b,emerg,raw_thr,raw_roll,raw_pitch,raw_yaw,sent_roll,sent_pitch,sent_gaz,sent_yaw
0.000,DISARMED,idle,-1.00,0.00,-1.00,-1.000,0.000,0.000,0.000,,,,
0.038,DISARMED,idle,-1.00,0.00,-1.00,-1.000,0.000,0.000,0.000,,,,
0.077,DISARMED,idle,-1.00,0.00,-1.00,-1.000,0.000,0.000,0.000,,,,
0.115,DISARMED,idle,-1.00,0.00,-1.00,-1.000,0.000,0.000,0.000,,,,
0.152,DISARMED,idle,-1.00,0.00,-1.00,-1.000,0.000,0.000,0.000,,,,
0.190,DISARMED,idle,-1.00,0.00,-1.00,-1.000,0.000,0.000,0.000,,,,
0.229,DISARMED,idle,-1.00,0.00,-1.00,-1.000,0.000,0.000,0.000,,,,
0.267,DISARMED,idle,-1.00,0.00,-1.00,-1.000,0.000,0.000,0.000,,,,
0.302,DISARMED,idle,-1.00,0.00,-1.00,-1.000,0.000,0.000,0.000,,,,
0.340,DISARMED,idle,-1.00,0.00,-1.00,-1.000,0.000,0.000,0.000,,,,
0.378,DISARMED,idle,-1.00,0.00,-1.00,-1.000,0.000,0.000,0.000,,,,
0.415,ARMED,move r+0.00 p+0.00 g-1.00 y+0.00,1.00,0.00,-1.00,-1.000,0.000,0.000,0.000,0.000,0.000,-1.000,0.000
0.451,ARMED,move r+0.00 p+0.00 g-1.00 y+0.00,1.00,0.00,-1.00,-1.000,0.000,0.000,0.000,0.000,0.000,-1.000,0.000
0.486,ARMED,move r+0.00 p+0.00 g-1.00 y+0.00,1.00,0.00,-1.00,-1.000,0.000,0.000,0.000,0.000,0.000,-1.000,0.000
0.522,ARMED,move r+0.00 p+0.00 g-1.00 y+0.00,1.00,0.00,-1.00,-1.000,0.000,0.000,0.000,0.000,0.000,-1.000,0.000
0.560,ARMED,move r+0.00 p+0.00 g-1.00 y+0.00,1.00,0.00,-1.00,-1.000,0.000,0.000,0.000,0.000,0.000,-1.000,0.000
0.599,ARMED,move r+0.00 p+0.00 g-1.00 y+0.00,1.00,0.00,-1.00,-1.000,0.000,0.000,0.000,0.000,0.000,-1.000,0.000
0.636,ARMED,move r+0.00 p+0.00 g-1.00 y+0.00,1.00,0.00,-1.00,-1.000,0.000,0.000,0.000,0.000,0.000,-1.000,0.000
0.674,ARMED,move r+0.00 p+0.00 g-1.00 y+0.00,1.00,0.00,-1.00,-1.000,0.000,0.000,0.000,0.000,0.000,-1.000,0.000
0.712,ARMED,move r+0.00 p+0.00 g-1.00 y+0.00,1.00,0.00,-1.00,-1.000,0.000,0.000,0.000,0.000,0.000,-1.000,0.000
0.751,ARMED,move r+0.00 p+0.00 g-1.00 y+0.00,1.00,0.00,-1.00,-1.000,0.000,0.000,0.000,0.000,0.000,-1.000,0.000
0.786,ARMED,move r+0.00 p+0.00 g-1.00 y+0.00,1.00,0.00,-1.00,-1.000,0.000,0.000,0.000,0.000,0.000,-1.000,0.000
0.825,ARMED,TAKEOFF,1.00,1.00,-1.00,0.400,0.000,0.000,0.000,,,,
0.863,ARMED,TAKEOFF,1.00,1.00,-1.00,0.400,0.000,0.000,0.000,,,,
0.901,ARMED,TAKEOFF,1.00,1.00,-1.00,0.400,0.000,0.000,0.000,,,,
0.935,ARMED,TAKEOFF,1.00,1.00,-1.00,0.400,0.000,0.000,0.000,,,,
0.972,ARMED,TAKEOFF,1.00,1.00,-1.00,0.400,0.000,0.000,0.000,,,,
1.011,ARMED,TAKEOFF,1.00,1.00,-1.00,0.400,0.000,0.000,0.000,,,,
1.049,ARMED,TAKEOFF,1.00,1.00,-1.00,0.400,0.000,0.000,0.000,,,,
1.085,ARMED,TAKEOFF,1.00,1.00,-1.00,0.400,0.000,0.000,0.000,,,,
1.124,ARMED,TAKEOFF,1.00,1.00,-1.00,0.400,0.000,0.000,0.000,,,,
1.161,ARMED,TAKEOFF,1.00,1.00,-1.00,0.400,0.000,0.000,0.000,,,,
1.196,ARMED,TAKEOFF,1.00,1.00,-1.00,0.400,0.000,0.000,0.000,,,,
1.235,ARMED,TAKEOFF,1.00,1.00,-1.00,0.400,0.000,0.000,0.000,,,,
1.273,ARMED,TAKEOFF,1.00,1.00,-1.00,0.400,0.000,0.000,0.000,,,,
1.312,ARMED,TAKEOFF,1.00,1.00,-1.00,0.400,0.000,0.000,0.000,,,,
