idx ax ay az gx gy gz
0 2080 2048 2568 6 34 59
1 2076 2048 2568 5 35 58
2 2076 2048 2568 7 34 57
3 2076 2048 2568 7 36 56
4 2076 2048 2568 7 34 59
5 2076 2048 2568 7 33 57
6 2076 2048 2568 8 34 57
7 2076 2048 2568 6 34 58
8 2076 2048 2568 7 35 57
9 2076 2048 2568 7 34 58
10 2076 2048 2568 7 35 58
11 2076 2048 2568 5 33 57
12 2076 2048 2568 6 36 60
13 2076 2048 2568 7 34 59
14 2076 2048 2568 5 33 58
15 2076 2048 2568 6 34 60
16 2076 2044 2568 7 34 58
17 2076 2044 2568 8 36 58
18 2076 2044 2568 7 33 57
19 2076 2048 2568 8 34 58
20 2076 2044 2568 8 35 58
21 2076 2048 2568 8 36 57
22 2076 2048 2568 7 35 58
23 2076 2048 2568 7 33 57
24 2076 2048 2568 7 33 58
25 2076 2048 2568 6 33 57
26 2076 2048 2568 8 34 58
27 2076 2048 2572 6 34 59
28 2076 2048 2568 7 35 59
29 2076 2048 2568 5 33 58
30 2076 2048 2572 7 35 58
31 2076 2048 2572 6 34 59
32 2076 2048 2572 5 34 59
33 2076 2048 2568 7 35 58
34 2076 2048 2568 8 34 59
35 2076 2048 2568 7 34 56
36 2076 2048 2568 6 34 57
37 2076 2048 2568 6 32 57
38 2076 2048 2568 7 33 58
39 2076 2048 2568 7 35 57
40 2076 2048 2568 7 35 59
41 2076 2048 2568 6 33 56
42 2076 2048 2568 7 33 59
43 2076 2048 2568 7 34 58
44 2076 2048 2568 6 35 57
45 2076 2048 2568 6 32 57
46 2076 2048 2568 8 36 58
47 2076 2048 2568 7 34 57
48 2076 2048 2568 5 32 56
49 2076 2048 2568 7 36 58
50 2076 2048 2568 6 33 57
51 2076 2048 2568 8 33 56
52 2076 2048 2568 7 34 56
53 2076 2048 2568 7 34 57
54 2076 2048 2568 7 33 58
55 2076 2048 2568 7 33 57
56 2076 2048 2568 6 34 59
57 2076 2048 2568 7 34 58
58 2076 2048 2568 8 34 57
59 2076 2048 2568 6 33 59
60 2076 2048 2568 8 34 59
61 2076 2048 2568 8 34 59
62 2076 2048 2568 6 36 57
63 2076 2048 2568 7 33 58
64 2076 2048 2568 8 33 58
65 2076 2048 2568 7 33 59
66 2076 2048 2568 6 33 57
67 2076 2048 2568 7 35 57
68 2080 2048 2568 8 36 58
69 2076 2048 2568 7 34 58
70 2076 2048 2568 7 37 57
71 2076 2048 2568 5 35 59
72 2076 2048 2568 7 34 59
73 2076 2048 2568 5 31 58
74 2076 2048 2568 7 33 57
75 2076 2048 2568 8 34 58
76 2076 2048 2568 7 34 59
77 2076 2048 2568 9 32 57
78 2076 2048 2568 7 32 60
79 2076 2048 2568 7 36 58
80 2076 2048 2568 6 35 57
81 2076 2048 2568 7 33 59
82 2076 2048 2572 5 33 58
83 2076 2048 2572 6 36 57
84 2076 2044 2572 7 34 57
85 2076 2044 2572 7 33 55
86 2076 2044 2572 8 36 57
87 2076 2044 2572 6 35 57
88 2076 2044 2572 8 35 57
89 2076 2044 2568 9 35 57
