t,wall,seq,state,bat,roll_deg,pitch_deg,yaw_deg,alt_mm,m1,m2,m3,m4
0.065,1783037657.521,1418,2,44,0.104,-0.295,1.574,0,0,0,0,0
0.130,1783037657.586,1419,2,44,0.107,-0.302,1.573,0,0,0,0,0
0.198,1783037657.654,1420,2,44,0.104,-0.298,1.573,0,0,0,0,0
0.260,1783037657.716,1421,2,44,0.1,-0.302,1.572,0,0,0,0,0
0.325,1783037657.781,1422,2,44,0.096,-0.304,1.572,0,0,0,0,0
0.390,1783037657.846,1423,2,44,0.094,-0.3,1.572,0,0,0,0,0
0.456,1783037657.912,1424,2,44,0.105,-0.3,1.57,0,0,0,0,0
0.520,1783037657.976,1425,2,44,0.101,-0.291,1.57,0,0,0,0,0
0.586,1783037658.042,1426,2,44,0.112,-0.294,1.569,0,0,0,0,0
0.651,1783037658.107,1427,2,44,0.112,-0.288,1.571,0,0,0,0,0
0.716,1783037658.172,1428,2,44,0.115,-0.292,1.569,0,0,0,0,0
0.781,1783037658.237,1429,2,44,0.111,-0.3,1.569,0,0,0,0,0
0.846,1783037658.302,1430,2,44,0.117,-0.306,1.569,0,0,0,0,0
0.911,1783037658.367,1431,2,44,0.117,-0.312,1.571,0,0,0,0,0
0.976,1783037658.432,1432,2,44,0.109,-0.318,1.573,0,0,0,0,0
1.041,1783037658.497,1433,2,44,0.11,-0.323,1.576,0,0,0,0,0
1.107,1783037658.562,1434,2,44,0.108,-0.326,1.576,0,0,0,0,0
1.171,1783037658.627,1435,2,44,0.12,-0.328,1.577,0,0,0,0,0
1.236,1783037658.692,1436,2,44,0.117,-0.329,1.577,0,0,0,0,0
1.303,1783037658.759,1437,2,44,0.111,-0.322,1.577,0,0,0,0,0
1.367,1783037658.823,1438,2,44,0.107,-0.311,1.577,0,0,0,0,0
1.432,1783037658.888,1439,2,44,0.12,-0.305,1.577,0,0,0,0,0
1.497,1783037658.953,1440,2,44,0.121,-0.315,1.579,0,0,0,0,0
1.562,1783037659.018,1441,2,44,0.118,-0.317,1.58,0,0,0,0,0
1.627,1783037659.083,1442,2,44,0.115,-0.323,1.58,0,0,0,0,0
1.739,1783037659.195,1443,2,44,0.112,-0.319,1.58,0,0,0,0,0
1.757,1783037659.213,1444,2,44,0.118,-0.324,1.58,0,0,0,0,0
1.881,1783037659.337,1445,2,44,0.115,-0.315,1.579,0,0,0,0,0
1.928,1783037659.384,1446,2,44,0.109,-0.308,1.579,0,0,0,0,0
1.952,1783037659.408,1447,2,44,0.105,-0.298,1.578,0,0,0,0,0
2.042,1783037659.498,1448,2,44,0.098,-0.299,1.577,0,0,0,0,0
2.174,1783037659.630,1449,2,44,0.095,-0.297,1.576,0,0,0,0,0
2.175,1783037659.631,1450,2,44,0.089,-0.292,1.576,0,0,0,0,0
2.334,1783037659.790,1451,2,44,0.086,-0.301,1.577,0,0,0,0,0
2.334,1783037659.790,1452,2,44,0.083,-0.301,1.577,0,0,0,0,0
2.494,1783037659.950,1453,2,44,0.083,-0.308,1.579,0,0,0,0,0
2.495,1783037659.951,1454,2,44,0.087,-0.303,1.578,0,0,0,0,0
2.495,1783037659.951,1455,2,44,0.083,-0.296,1.578,0,0,0,0,0
2.553,1783037660.009,1456,2,44,0.083,-0.298,1.578,0,0,0,0,0
2.603,1783037660.059,1457,2,44,0.084,-0.302,1.578,0,0,0,0,0
2.668,1783037660.124,1458,2,44,0.09,-0.304,1.578,0,0,0,0,0
2.733,1783037660.189,1459,2,44,0.095,-0.309,1.577,0,0,0,0,0
2.798,1783037660.254,1460,2,44,0.096,-0.313,1.578,0,0,0,0,0
2.863,1783037660.319,1461,2,44,0.093,-0.319,1.576,0,0,0,0,0
2.930,1783037660.386,1462,2,44,0.098,-0.323,1.575,0,0,0,0,0
2.993,1783037660.449,1463,2,44,0.106,-0.318,1.576,0,0,0,0,0
3.059,1783037660.515,1464,2,44,0.097,-0.312,1.575,0,0,0,0,0
3.124,1783037660.580,1465,2,44,0.09,-0.302,1.576,0,0,0,0,0
3.189,1783037660.645,1466,2,44,0.085,-0.303,1.576,0,0,0,0,0
3.254,1783037660.710,1467,2,44,0.091,-0.295,1.576,0,0,0,0,0
3.319,1783037660.775,1468,2,44,0.086,-0.297,1.575,0,0,0,0,0
3.384,1783037660.840,1469,2,44,0.072,-0.271,1.575,0,0,0,0,0
