t_s,seq,gx_dps,gy_dps,gz_dps,ax_g,ay_g,az_g,ax_raw,ay_raw,az_raw,gx_raw,gy_raw,gz_raw
0.005,23786,-0.04,0.10,-0.07,-0.012,-0.012,-0.988,2076,2056,2568,11,34,57
0.010,23787,-0.04,0.10,-0.07,-0.012,-0.012,-0.988,2076,2056,2568,11,34,57
0.015,23788,-0.04,-0.08,-0.07,-0.012,-0.012,-0.988,2076,2056,2568,11,37,57
0.020,23789,0.02,-0.02,-0.01,-0.020,-0.012,-0.988,2072,2056,2568,12,36,56
0.025,23790,-0.10,-0.08,-0.07,-0.012,-0.012,-0.988,2076,2056,2568,10,37,57
0.030,23791,-0.04,-0.08,-0.07,-0.012,-0.012,-0.988,2076,2056,2568,11,37,57
0.035,23792,0.08,0.04,-0.01,-0.012,-0.012,-0.988,2076,2056,2568,13,35,56
0.040,23793,0.08,-0.02,0.05,-0.012,-0.012,-0.988,2076,2056,2568,13,36,55
0.045,23794,0.02,-0.02,-0.13,-0.012,-0.012,-0.980,2076,2056,2564,12,36,58
0.050,23795,0.08,0.04,0.05,-0.012,-0.012,-0.980,2076,2056,2564,13,35,55
0.055,23796,0.08,-0.02,-0.01,-0.012,-0.012,-0.980,2076,2056,2564,13,36,56
0.060,23797,-0.10,0.10,-0.01,-0.012,-0.012,-0.980,2076,2056,2564,10,34,56
0.065,23798,-0.10,0.04,-0.19,-0.012,-0.020,-0.980,2076,2060,2564,10,35,59
0.070,23799,-0.04,-0.02,-0.01,-0.012,-0.020,-0.980,2076,2060,2564,11,36,56
0.075,23800,-0.10,-0.08,0.05,-0.020,-0.012,-0.980,2072,2056,2564,10,37,55
0.080,23801,0.02,0.04,-0.01,-0.020,-0.020,-0.988,2072,2060,2568,12,35,56
0.085,23802,-0.04,0.04,0.05,-0.020,-0.020,-0.980,2072,2060,2564,11,35,55
0.090,23803,-0.04,0.10,-0.07,-0.020,-0.012,-0.988,2072,2056,2568,11,34,57
0.095,23804,0.02,0.04,0.05,-0.020,-0.012,-0.980,2072,2056,2564,12,35,55
0.100,23805,-0.04,-0.02,-0.01,-0.020,-0.012,-0.980,2072,2056,2564,11,36,56
0.105,23806,-0.04,-0.02,-0.07,-0.020,-0.012,-0.980,2072,2056,2564,11,36,57
0.110,23807,-0.04,0.04,-0.01,-0.020,-0.012,-0.988,2072,2056,2568,11,35,56
0.115,23808,0.02,-0.08,-0.07,-0.020,-0.012,-0.988,2072,2056,2568,12,37,57
0.120,23809,0.02,0.10,-0.01,-0.020,-0.012,-0.988,2072,2056,2568,12,34,56
0.125,23810,-0.04,0.04,-0.01,-0.020,-0.012,-0.988,2072,2056,2568,11,35,56
0.130,23811,-0.16,0.04,0.05,-0.020,-0.012,-0.995,2072,2056,2572,9,35,55
0.135,23812,-0.04,-0.08,0.05,-0.020,-0.012,-0.995,2072,2056,2572,11,37,55
0.140,23813,0.02,0.10,0.05,-0.020,-0.012,-0.995,2072,2056,2572,12,34,55
0.145,23814,0.02,0.04,-0.13,-0.012,-0.012,-0.996,2076,2056,2572,12,35,58
0.150,23815,0.02,-0.02,0.05,-0.020,-0.012,-0.995,2072,2056,2572,12,36,55
0.155,23816,-0.10,-0.14,-0.01,-0.012,-0.012,-0.988,2076,2056,2568,10,38,56
0.160,23817,0.08,-0.08,0.11,-0.012,-0.012,-0.988,2076,2056,2568,13,37,54
0.165,23818,-0.10,0.04,-0.01,-0.012,-0.020,-0.988,2076,2060,2568,10,35,56
0.170,23819,0.02,0.10,-0.01,-0.020,-0.020,-0.988,2072,2060,2568,12,34,56
0.175,23820,-0.04,-0.02,-0.01,-0.020,-0.020,-0.988,2072,2060,2568,11,36,56
0.180,23821,-0.04,-0.08,-0.07,-0.012,-0.012,-0.988,2076,2056,2568,11,37,57
0.185,23822,-0.04,0.10,0.11,-0.020,-0.012,-0.988,2072,2056,2568,11,34,54
0.190,23823,0.02,0.10,-0.01,-0.012,-0.012,-0.988,2076,2056,2568,12,34,56
0.195,23824,0.08,0.10,0.05,-0.012,-0.012,-0.988,2076,2056,2568,13,34,55
