t_s,seq,gx_dps,gy_dps,gz_dps,ax_g,ay_g,az_g,ax_raw,ay_raw,az_raw,gx_raw,gy_raw,gz_raw
0.005,7348,-0.05,0.12,-0.05,-0.028,-0.012,-0.995,2068,2056,2572,17,35,57
0.010,7349,-0.05,-0.12,0.01,-0.020,-0.012,-0.995,2072,2056,2572,17,39,56
0.015,7350,-0.12,-0.06,0.01,-0.020,-0.012,-0.995,2072,2056,2572,16,38,56
0.020,7351,0.01,-0.06,-0.05,-0.020,-0.012,-0.995,2072,2056,2572,18,38,57
0.025,7352,0.01,-0.00,0.07,-0.020,-0.012,-0.995,2072,2056,2572,18,37,55
0.030,7353,0.01,-0.12,0.01,-0.020,-0.012,-0.995,2072,2056,2572,18,39,56
0.035,7354,-0.05,-0.00,0.07,-0.020,-0.012,-0.995,2072,2056,2572,17,37,55
0.040,7355,-0.05,0.12,0.07,-0.020,-0.012,-0.995,2072,2056,2572,17,35,55
0.045,7356,0.01,-0.00,0.01,-0.020,-0.012,-0.995,2072,2056,2572,18,37,56
0.050,7357,0.01,0.12,0.01,-0.020,-0.012,-0.995,2072,2056,2572,18,35,56
0.055,7358,0.07,0.12,0.01,-0.020,-0.012,-0.995,2072,2056,2572,19,35,56
0.060,7359,0.01,0.06,0.01,-0.020,-0.012,-0.995,2072,2056,2572,18,36,56
0.065,7360,0.01,-0.00,0.07,-0.020,-0.012,-0.995,2072,2056,2572,18,37,55
0.070,7361,0.01,-0.06,0.01,-0.020,-0.012,-0.995,2072,2056,2572,18,38,56
0.075,7362,-0.05,-0.12,-0.05,-0.020,-0.012,-0.995,2072,2056,2572,17,39,57
0.080,7363,0.01,0.06,-0.12,-0.020,-0.012,-0.995,2072,2056,2572,18,36,58
0.085,7364,-0.05,0.06,0.01,-0.020,-0.012,-0.995,2072,2056,2572,17,36,56
0.090,7365,-0.05,-0.00,0.07,-0.020,-0.012,-0.995,2072,2056,2572,17,37,55
0.095,7366,-0.12,0.12,0.01,-0.020,-0.012,-1.003,2072,2056,2576,16,35,56
0.100,7367,0.01,-0.00,-0.05,-0.020,-0.012,-1.003,2072,2056,2576,18,37,57
0.105,7368,0.01,-0.00,0.07,-0.020,-0.012,-1.003,2072,2056,2576,18,37,55
0.110,7369,-0.12,0.06,0.01,-0.020,-0.012,-1.003,2072,2056,2576,16,36,56
0.115,7370,-0.05,0.06,0.01,-0.020,-0.012,-1.003,2072,2056,2576,17,36,56
0.120,7371,-0.12,0.06,-0.12,-0.020,-0.012,-1.003,2072,2056,2576,16,36,58
0.125,7372,0.01,-0.00,0.01,-0.020,-0.012,-1.003,2072,2056,2576,18,37,56
0.130,7373,-0.05,-0.00,0.01,-0.020,-0.012,-0.995,2072,2056,2572,17,37,56
0.135,7374,0.01,-0.06,-0.05,-0.020,-0.012,-0.995,2072,2056,2572,18,38,57
0.140,7375,-0.12,-0.06,0.01,-0.020,-0.012,-0.995,2072,2056,2572,16,38,56
0.145,7376,0.07,-0.06,0.01,-0.020,-0.012,-0.995,2072,2056,2572,19,38,56
0.150,7377,0.01,-0.00,0.07,-0.020,-0.012,-0.995,2072,2056,2572,18,37,55
0.155,7378,-0.05,0.06,0.01,-0.020,-0.012,-0.995,2072,2056,2572,17,36,56
0.160,7379,0.01,0.06,0.07,-0.020,-0.012,-0.995,2072,2056,2572,18,36,55
0.165,7380,-0.05,0.12,0.01,-0.020,-0.012,-0.995,2072,2056,2572,17,35,56
0.170,7381,0.01,-0.00,0.07,-0.020,-0.012,-0.995,2072,2056,2572,18,37,55
0.175,7382,0.13,0.06,-0.12,-0.020,-0.012,-0.995,2072,2056,2572,20,36,58
0.180,7383,0.01,-0.00,0.07,-0.020,-0.012,-0.995,2072,2056,2572,18,37,55
0.185,7384,-0.05,-0.06,0.01,-0.020,-0.012,-0.995,2072,2056,2572,17,38,56
0.190,7385,-0.12,0.06,0.01,-0.020,-0.020,-0.995,2072,2060,2572,16,36,56
0.195,7386,0.01,-0.00,0.01,-0.020,-0.020,-0.995,2072,2060,2572,18,37,56
0.200,7387,0.07,0.12,-0.05,-0.020,-0.012,-0.995,2072,2056,2572,19,35,57
0.205,7388,0.01,-0.00,0.01,-0.020,-0.012,-1.003,2072,2056,2576,18,37,56
0.210,7389,0.01,-0.06,-0.05,-0.020,-0.012,-0.995,2072,2056,2572,18,38,57
0.215,7390,0.01,0.06,0.01,-0.020,-0.012,-0.995,2072,2056,2572,18,36,56
0.220,7391,-0.05,-0.06,0.01,-0.020,-0.012,-0.995,2072,2056,2572,17,38,56
0.225,7392,0.07,-0.00,-0.05,-0.020,-0.012,-0.995,2072,2056,2572,19,37,57
0.230,7393,-0.05,-0.12,0.07,-0.020,-0.012,-0.995,2072,2056,2572,17,39,55
0.235,7394,0.07,-0.06,0.01,-0.020,-0.012,-0.995,2072,2056,2572,19,38,56
0.240,7395,0.01,-0.06,0.07,-0.020,-0.012,-0.995,2072,2056,2572,18,38,55
0.245,7396,-0.12,0.06,0.01,-0.020,-0.012,-0.995,2072,2056,2572,16,36,56
0.250,7397,-0.05,0.06,0.01,-0.020,-0.012,-0.995,2072,2056,2572,17,36,56
0.255,7398,0.01,0.06,0.07,-0.020,-0.012,-0.995,2072,2056,2572,18,36,55
0.260,7399,0.01,-0.00,-0.05,-0.020,-0.012,-0.995,2072,2056,2572,18,37,57
